spm no,sex,location,latitude,longitude,species,dominant phenotype,DRy/d (era),Sd/sd (era),yspot(era),N (mel),B (mel),DR (mel),yspot(mel)
<a href=190.jpg>190</a>,f,Belle Terre,04.55'897,052.23'715,melpomene,melpomene,,,,NB/NB,B/-,d/d,+
<a href=191.jpg>191</a>,m,Belle Terre,04.55'897,052.23'715,melpomene,melpomene,,,,NB/NB,B/-,d/d,+
<a href=192.jpg>192</a>,m,Belle Terre,04.55'897,052.23'715,melpomene,melpomene,,,,NB/NB,B/-,d/d,-
<a href=193.jpg>193</a>,m,Belle Terre,04.55'897,052.23'715,melpomene,melpomene,,,,NB/NB,B/-,d/d,+
<a href=194.jpg>194</a>,m,Belle Terre,04.55'897,052.23'715,erato,hydara,d/d,sd/sd,+,,,,
<a href=195.jpg>195</a>,m,Belle Terre,04.55'897,052.23'715,melpomene,melpomene,,,,NB/NB,B/-,d/d,+
<a href=196.jpg>196</a>,f,Belle Terre,04.55'897,052.23'715,melpomene,melpomene,,,,NB/NB,B/-,d/d,+
<a href=197.jpg>197</a>,m,7km South of Roura,04.40'720,052.18'334,erato,erato,DRy/DRy,sd/sd,+,,,,
<a href=198.jpg>198</a>,f,7km South of Roura,04.40'720,052.18'334,erato,erato,DRy/d,sd/sd,-,,,,
<a href=199.jpg>199</a>,f,7km South of Roura,04.40'720,052.18'334,erato,erato,DRy/DRy,Sd/Sd,+,,,,
<a href=200.jpg>200</a>,m,12km South of Caiman,04.32'138,052.07'931,erato,hydara,d/d,Sd/sd,++,,,,
<a href=201.jpg>201</a>,m,Mont Paramana,04.48'946,052.20.983,erato,hydara,d/d,sd/sd,+
<a href=202.jpg>202</a>,m,Mont Paramana,04.48'946,052.20.983,erato,erato,DRy/DRy,Sd/sd,+
<a href=203.jpg>203</a>,m,Camp Caiman,04.34'138,052.13'189,erato,erato,DRy/d,Sd/sd,++
<a href=204.jpg>204</a>,m,Camp Caiman,04.34'138,052.13'189,erato,erato,DRy/d,Sd/Sd,+
<a href=205.jpg>205</a>,f,Camp Caiman,04.34'138,052.13'189,erato,erato,DRy/DRy,Sd/sd,++
<a href=206.jpg>206</a>,f,Camp Caiman,04.34'138,052.13'189,erato,erato,DRy/DRy,Sd/Sd,++
<a href=207.jpg>207</a>,m,Camp Caiman,04.34'138,052.13'189,erato,erato,DRy/DRy,Sd/Sd,+
<a href=208.jpg>208</a>,f,Camp Caiman,04.34'138,052.13'189,erato,erato,DRy/DRy,Sd/Sd,++
<a href=209.jpg>209</a>,m,Camp Caiman,04.34'138,052.13'189,erato,erato,DRy/d,Sd/sd,++
<a href=210.jpg>210</a>,m,Camp Caiman,04.34'138,052.13'189,erato,erato,DRy/d,Sd/sd,+
<a href=211.jpg>211</a>,f,Camp Caiman,04.34'138,052.13'189,erato,erato,DRy/DRy,Sd/Sd,+
<a href=212.jpg>212</a>,f,Camp Caiman,04.34'138,052.13'189,erato,erato,DRy/DRy,Sd/Sd,+
<a href=213.jpg>213</a>,f,Camp Caiman,04.34'138,052.13'189,erato,hydara,d/d,Sd/Sd,++
<a href=214.jpg>214</a>,f,Camp Caiman,04.34'138,052.13'189,erato,hydara,d/d,sd/sd,+
<a href=215.jpg>215</a>,m,Camp Caiman,04.34'138,052.13'189,erato,hydara,d/d,Sd/sd,+
<a href=216.jpg>216</a>,m,Cacao,04.35'771,052.25'892,erato,erato,DRy/DRy,Sd/Sd,+
<a href=217.jpg>217</a>,m,Cacao,04.35'771,052.25'892,erato,erato,DRy/DRy,Sd/Sd,+
<a href=218.jpg>218</a>,m,Cacao,04.35'771,052.25'892,erato,erato,DRy/DRy,Sd/Sd,+
<a href=219.jpg>219</a>,f,Cacao,04.35'771,052.25'892,erato,erato,DRy/DRy,Sd/Sd,+
<a href=220.jpg>220</a>,m,Cacao,04.35'771,052.25'892,erato,erato,DRy/DRy,Sd/Sd,++
<a href=221.jpg>221</a>,m,Cacao,04.35'771,052.25'892,erato,erato,DRy/DRy,Sd/Sd,++
<a href=222.jpg>222</a>,m,Cacao,04.35'771,052.25'892,erato,erato,DRy/DRy,Sd/Sd,++
<a href=223.jpg>223</a>,m,Cacao,04.35'771,052.25'892,erato,erato,DRy/DRy,Sd/Sd,++
<a href=224.jpg>224</a>,f,Galion,04.46'954,052.24'689,erato,hydara,d/d,Sd/sd,++
<a href=225.jpg>225</a>,m,Galion,04.46'954,052.24'689,erato,hydara,d/d,Sd/sd,++,,,,
<a href=226.jpg>226</a>,m,Galion,04.46'954,052.24'689,melpomene,melpomene,,,,NB/NB,B/-,d/d,+
<a href=227.jpg>227</a>,m,Galion,04.46'954,052.24'689,erato,erato,DRy/d,sd/sd,++,,,,
<a href=228.jpg>228</a>,m,Galion,04.46'954,052.24'689,melpomene,thelxiope,,,,NN/--,B/-,DR/-,+
<a href=229.jpg>229</a>,m,Galion,04.46'954,052.24'689,melpomene,melpomene,,,,NB/NB,B/-,d/d,+
<a href=230.jpg>230</a>,m,Galion,04.46'954,052.24'689,erato,hydara,d/d,Sd/sd,++,,,,
265,,Risquetoutnear Montsinery,04-56.583,52-31.738,,,,,,,,,
266,,Risquetoutnear Montsinery,04-56.583,52-31.738,,,,,,,,,
267,,Risquetoutnear Montsinery,04-56.583,52-31.738
268,,Risquetoutnear Montsinery,04-56.583,52-31.738
269,,Risquetoutnear Montsinery,04-56.583,52-31.738
270,,Risquetoutnear Montsinery,04-56.583,52-31.738
271,,Risquetoutnear Montsinery,04-56.583,52-31.738
272,,Risquetoutnear Montsinery,04-56.583,52-31.738
273,,Risquetoutnear Montsinery,04-56.583,52-31.738
